Notes: 2A
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.82600851	842.42583122	1019.87548476	-0.01255131	-0.00083697
56.80000000	0.77170704	787.04186671	1019.87130208	-0.01590540	-0.00083739
59.80000000	0.74624670	761.07631032	1019.87226731	-0.01747776	-0.00083730
62.80000000	0.73527975	749.88551467	1019.86422370	-0.01815540	-0.00083810
74.80000000	0.74869792	763.57769200	1019.87419778	-0.01732629	-0.00083710
79.80000000	0.76803614	783.29184452	1019.86325846	-0.01613249	-0.00083820
84.80000000	0.78890224	804.58053658	1019.87355429	-0.01484328	-0.00083717
96.80000000	0.82354923	839.91634506	1019.87387604	-0.01270329	-0.00083714
99.80000000	0.83875497	855.42347719	1019.87291080	-0.01176412	-0.00083723
102.80000000	0.84857933	865.44252662	1019.87226731	-0.01115731	-0.00083730
114.80000000	0.86569445	882.89386131	1019.86776289	-0.01010034	-0.00083775
119.80000000	0.87351010	890.86366332	1019.86647591	-0.00961763	-0.00083788
124.80000000	0.87891719	896.38836144	1019.87805872	-0.00928301	-0.00083672
129.80000000	0.88330599	900.86098719	1019.87419778	-0.00901211	-0.00083710
134.80000000	0.88700048	904.62462356	1019.86937161	-0.00878415	-0.00083759
139.80000000	0.89023944	907.92994009	1019.87162382	-0.00858395	-0.00083736
144.80000000	0.89293475	910.68082084	1019.87387604	-0.00841733	-0.00083714
149.80000000	0.89543337	913.22564372	1019.87001510	-0.00826319	-0.00083752
154.80000000	0.89743072	915.26383367	1019.87130208	-0.00813974	-0.00083739
159.80000000	0.89924169	917.11137102	1019.87194557	-0.00802783	-0.00083733
164.80000000	0.90051335	918.40714100	1019.87065859	-0.00794935	-0.00083746
176.80000000	0.90286267	920.80431094	1019.87194557	-0.00780415	-0.00083733
179.80000000	0.90390361	921.87756569	1019.88481536	-0.00773915	-0.00083604
182.80000000	0.90448810	922.46756323	1019.87805872	-0.00770341	-0.00083672
194.80000000	0.90506710	923.05224993	1019.87162382	-0.00766799	-0.00083736
226.80000000	0.90326201	921.20897219	1019.86904987	-0.00777964	-0.00083762
254.80000000	0.88950275	907.17689833	1019.86969336	-0.00862956	-0.00083755
286.80000000	0.86638835	883.60656372	1019.87355429	-0.01005717	-0.00083717
314.80000000	0.82904039	845.50943093	1019.86518893	-0.01236456	-0.00083800
344.80000000	0.74531822	760.12865927	1019.87130208	-0.01753514	-0.00083739
376.80000000	0.60154557	613.49480477	1019.86422370	-0.02641259	-0.00083810
404.80000000	0.41914017	427.46431149	1019.86004101	-0.03766834	-0.00083852
434.80000000	0.30985454	316.00906436	1019.86261497	-0.04440705	-0.00083826
466.80000000	0.26433550	269.58785202	1019.87001510	-0.04721245	-0.00083752
494.80000000	0.23321323	237.84583286	1019.86422370	-0.04913026	-0.00083810
524.80000000	0.20690748	211.01840216	1019.86840638	-0.05075082	-0.00083768
556.80000000	0.18425741	187.91712242	1019.86197148	-0.05214606	-0.00083833
584.80000000	0.17065735	174.04848349	1019.87098034	-0.05298357	-0.00083742
614.80000000	0.15933460	162.49955558	1019.86358021	-0.05368093	-0.00083816
642.80000000	0.14859621	151.54795591	1019.86422370	-0.05434217	-0.00083810
674.80000000	0.14315119	145.99270792	1019.84974518	-0.05467757	-0.00083955
704.80000000	0.13381797	136.47681029	1019.86904987	-0.05525206	-0.00083762
734.80000000	0.21872954	223.07351948	1019.86004101	-0.05002264	-0.00083852
764.80000000	0.28044851	286.01958277	1019.86486719	-0.04621951	-0.00083804
796.80000000	0.31900317	325.33899588	1019.86132799	-0.04384312	-0.00083839
824.80000000	0.34347990	350.30407638	1019.86776289	-0.04233398	-0.00083775
854.80000000	0.36451626	371.75755903	1019.86551067	-0.04103695	-0.00083797
