Notes: 5A
12.1
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.82518833	841.57820102	1019.86197148	-0.01260329	-0.00083833
56.80000000	0.77027565	785.57534074	1019.86261497	-0.01599485	-0.00083826
59.80000000	0.74498666	759.78021238	1019.85746706	-0.01755689	-0.00083878
62.80000000	0.73388079	748.46348532	1019.87065859	-0.01824215	-0.00083746
74.80000000	0.74738958	762.24069991	1019.87065859	-0.01740790	-0.00083746
79.80000000	0.76694786	782.18490764	1019.86711940	-0.01620017	-0.00083781
84.80000000	0.78783088	803.49117657	1019.87773697	-0.01490990	-0.00083675
96.80000000	0.82305269	839.40543494	1019.86840638	-0.01273488	-0.00083768
99.80000000	0.83805799	854.71129455	1019.87130208	-0.01180789	-0.00083739
102.80000000	0.84787012	864.71867098	1019.87162382	-0.01120179	-0.00083736
114.80000000	0.86516538	882.35483784	1019.86840638	-0.01013363	-0.00083768
119.80000000	0.87283256	890.17435269	1019.86840638	-0.00966002	-0.00083768
124.80000000	0.87819662	895.64329361	1019.86647591	-0.00932878	-0.00083788
129.80000000	0.88269117	900.22372931	1019.86261497	-0.00905135	-0.00083826
134.80000000	0.88644202	904.05906177	1019.87387604	-0.00881905	-0.00083714
139.80000000	0.88964540	907.33039265	1019.87870221	-0.00862091	-0.00083665
144.80000000	0.89245818	910.18961101	1019.86808463	-0.00844773	-0.00083771
149.80000000	0.89494266	912.72806259	1019.87323255	-0.00829397	-0.00083720
154.80000000	0.89679913	914.62286880	1019.87484127	-0.00817921	-0.00083704
159.80000000	0.89868162	916.54103758	1019.87291080	-0.00806302	-0.00083723
164.80000000	0.90023285	918.12251494	1019.87226731	-0.00796723	-0.00083730
176.80000000	0.90221668	920.14954244	1019.87645000	-0.00784446	-0.00083688
179.80000000	0.90315220	921.09959398	1019.87194557	-0.00778691	-0.00083733
182.80000000	0.90387082	921.83191369	1019.87130208	-0.00774255	-0.00083739
194.80000000	0.90451939	922.49307207	1019.87098034	-0.00770251	-0.00083742
226.80000000	0.90303238	920.98116949	1019.87612825	-0.00779408	-0.00083691
254.80000000	0.88938345	907.05264866	1019.86679765	-0.00863773	-0.00083784
286.80000000	0.86688198	884.10526049	1019.86808463	-0.01002761	-0.00083771
314.80000000	0.83042714	846.93174411	1019.87484127	-0.01227906	-0.00083704
344.80000000	0.74987626	764.77341385	1019.86615416	-0.01725453	-0.00083791
376.80000000	0.62156312	633.91458742	1019.87162382	-0.02517723	-0.00083736
404.80000000	0.59037530	602.10511350	1019.86840638	-0.02710261	-0.00083768
434.80000000	0.65156590	664.51399441	1019.87226731	-0.02332490	-0.00083730
466.80000000	0.69487760	708.68080523	1019.86422370	-0.02065095	-0.00083810
494.80000000	0.72233385	736.68640557	1019.86969336	-0.01895526	-0.00083755
524.80000000	0.74144463	756.17285285	1019.86422370	-0.01777533	-0.00083810
556.80000000	0.75331870	768.28933883	1019.87291080	-0.01704162	-0.00083723
584.80000000	0.76103154	776.15398582	1019.87098034	-0.01656538	-0.00083742
614.80000000	0.76483413	780.02942263	1019.86744114	-0.01633070	-0.00083778
642.80000000	0.76613678	781.35894062	1019.86872812	-0.01625018	-0.00083765
674.80000000	0.76329080	778.46034212	1019.87387604	-0.01642571	-0.00083714
704.80000000	0.75629381	771.32770330	1019.87838046	-0.01685764	-0.00083669
734.80000000	0.74466771	759.46043303	1019.86486719	-0.01757625	-0.00083804
764.80000000	0.72621271	740.63976069	1019.86615416	-0.01871589	-0.00083791
796.80000000	0.70076495	714.68510396	1019.86422370	-0.02028741	-0.00083810
824.80000000	0.64667769	659.52739259	1019.87033685	-0.02362677	-0.00083749
854.80000000	0.51999416	530.32343892	1019.86422370	-0.03144661	-0.00083810
