Notes: 1A&1B
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.77670683	792.10702015	1019.82754480	-0.01559921	-0.00084177
56.80000000	0.68310308	696.64799498	1019.82851003	-0.02137938	-0.00084167
59.80000000	0.62280410	635.15537699	1019.83172748	-0.02510203	-0.00084135
62.80000000	0.56884642	580.12946242	1019.83494493	-0.02843254	-0.00084103
74.80000000	0.44382110	452.62197903	1019.82979701	-0.03614728	-0.00084154
79.80000000	0.38064118	388.18897205	1019.82915352	-0.04004399	-0.00084161
84.80000000	0.33238714	338.97852651	1019.83044050	-0.04301919	-0.00084148
96.80000000	0.26137454	266.55670532	1019.82657956	-0.04739615	-0.00084186
99.80000000	0.23502759	239.68753502	1019.82722305	-0.04901954	-0.00084180
102.80000000	0.20764304	211.75808799	1019.81789246	-0.05070669	-0.00084273
114.80000000	0.17393592	177.38245879	1019.81499675	-0.05278279	-0.00084302
119.80000000	0.15491354	157.98465052	1019.82464910	-0.05395409	-0.00084206
124.80000000	0.14156365	144.37141551	1019.83397969	-0.05477600	-0.00084112
129.80000000	0.13220208	134.82290020	1019.82432735	-0.05535245	-0.00084209
134.80000000	0.12660813	129.11829514	1019.82625782	-0.05569682	-0.00084190
139.80000000	0.12501752	127.49574701	1019.82304037	-0.05579477	-0.00084222
144.80000000	0.12520405	127.68597783	1019.82304037	-0.05578329	-0.00084222
149.80000000	0.12353730	125.98614660	1019.82271863	-0.05588590	-0.00084225
154.80000000	0.12310695	125.54706441	1019.82110990	-0.05591240	-0.00084241
159.80000000	0.12371840	126.17051807	1019.82014467	-0.05587477	-0.00084251
164.80000000	0.12357231	126.02184862	1019.82271863	-0.05588374	-0.00084225
176.80000000	0.12521640	127.69876644	1019.82464910	-0.05578251	-0.00084206
179.80000000	0.12595786	128.45435834	1019.82014467	-0.05573690	-0.00084251
182.80000000	0.12582229	128.31634856	1019.82207514	-0.05574523	-0.00084231
194.80000000	0.12672481	129.23712143	1019.82497084	-0.05568965	-0.00084202
226.80000000	0.12959709	132.16618109	1019.82368386	-0.05551283	-0.00084215
254.80000000	0.13312429	135.76334282	1019.82400561	-0.05529568	-0.00084212
286.80000000	0.15694823	160.05912128	1019.82110990	-0.05382883	-0.00084241
314.80000000	0.13890672	141.66053858	1019.82497084	-0.05493966	-0.00084202
344.80000000	0.18145350	185.04836012	1019.81145756	-0.05231985	-0.00084337
376.80000000	0.17300079	176.43058506	1019.82529258	-0.05284027	-0.00084199
404.80000000	0.15310470	156.14029413	1019.82690131	-0.05406545	-0.00084183
434.80000000	0.16062676	163.81056511	1019.82110990	-0.05360232	-0.00084241
466.80000000	0.15893266	162.08242114	1019.81821420	-0.05370667	-0.00084270
494.80000000	0.16302685	166.25837740	1019.82207514	-0.05345452	-0.00084231
524.80000000	0.15361358	156.65812335	1019.81950118	-0.05403418	-0.00084257
556.80000000	0.19634055	200.23299655	1019.82497084	-0.05140280	-0.00084202
584.80000000	0.25978945	264.93943596	1019.82368386	-0.04749387	-0.00084215
614.80000000	0.29343367	299.25306304	1019.83204922	-0.04542032	-0.00084132
642.80000000	0.31471284	320.95241982	1019.82625782	-0.04410881	-0.00084190
674.80000000	0.32489855	331.34101356	1019.82915352	-0.04348086	-0.00084161
704.80000000	0.33171032	338.28519096	1019.82110990	-0.04306110	-0.00084241
734.80000000	0.33464678	341.28200882	1019.82754480	-0.04287994	-0.00084177
764.80000000	0.33154648	338.12076884	1019.82915352	-0.04307104	-0.00084161
796.80000000	0.35065176	357.60556308	1019.83108399	-0.04189312	-0.00084141
824.80000000	0.38366225	391.26847045	1019.82529258	-0.03985778	-0.00084199
854.80000000	0.40357016	411.57092350	1019.82497084	-0.03863007	-0.00084202
