Notes: 2B
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.89229213	910.07596560	1019.93050312	-0.00845464	-0.00083148
56.80000000	0.86502934	882.28261254	1019.94530338	-0.01013804	-0.00083000
59.80000000	0.85330774	870.32694393	1019.94498163	-0.01086216	-0.00083003
62.80000000	0.84855200	865.47334825	1019.94144244	-0.01115612	-0.00083038
74.80000000	0.85402291	871.05665327	1019.94530338	-0.01081796	-0.00083000
79.80000000	0.86289285	880.09351610	1019.93372057	-0.01027063	-0.00083115
84.80000000	0.87332465	890.73888088	1019.94015546	-0.00962586	-0.00083051
96.80000000	0.89231964	910.11579497	1019.94369465	-0.00845223	-0.00083016
99.80000000	0.90105565	919.02371252	1019.94112070	-0.00791268	-0.00083041
102.80000000	0.90676136	924.85252865	1019.95141653	-0.00755963	-0.00082938
114.80000000	0.91722776	935.52125950	1019.94433814	-0.00691342	-0.00083009
119.80000000	0.92178400	940.16629406	1019.94208593	-0.00663206	-0.00083032
124.80000000	0.92509183	943.53681358	1019.93854674	-0.00642791	-0.00083067
129.80000000	0.92771312	946.21006917	1019.93822499	-0.00626598	-0.00083070
134.80000000	0.93001418	948.56628914	1019.94819908	-0.00612326	-0.00082971
139.80000000	0.93192284	950.50882649	1019.94369465	-0.00600560	-0.00083016
144.80000000	0.93363190	952.24956693	1019.94112070	-0.00590016	-0.00083041
149.80000000	0.93495813	953.60795891	1019.94723385	-0.00581788	-0.00082980
154.80000000	0.93615761	954.82774915	1019.94337291	-0.00574400	-0.00083019
159.80000000	0.93719502	955.88132417	1019.93854674	-0.00568018	-0.00083067
164.80000000	0.93801734	956.73151191	1019.95077304	-0.00562868	-0.00082945
176.80000000	0.93918455	957.92049939	1019.94916432	-0.00555666	-0.00082961
179.80000000	0.93979272	958.53384449	1019.94176419	-0.00551951	-0.00083035
182.80000000	0.94019315	958.93530660	1019.93436405	-0.00549519	-0.00083109
194.80000000	0.94030231	959.05903762	1019.94755559	-0.00548770	-0.00082977
226.80000000	0.93853606	957.24608500	1019.93532929	-0.00559751	-0.00083099
254.80000000	0.92780801	946.30565631	1019.93693801	-0.00626019	-0.00083083
286.80000000	0.90827586	926.38088806	1019.93339882	-0.00746705	-0.00083119
314.80000000	0.87517107	892.62098979	1019.93886848	-0.00951187	-0.00083064
344.80000000	0.78878210	804.51256715	1019.94272942	-0.01484808	-0.00083025
376.80000000	0.60783035	619.94941187	1019.93822499	-0.02602258	-0.00083070
404.80000000	0.39037543	398.15920031	1019.93919023	-0.03944123	-0.00083061
434.80000000	0.27225519	277.68015149	1019.92599869	-0.04672414	-0.00083193
466.80000000	0.22066631	225.06557591	1019.93629452	-0.04990298	-0.00083090
494.80000000	0.18699079	190.71815545	1019.93339882	-0.05197757	-0.00083119
524.80000000	0.15999484	163.18408462	1019.93339882	-0.05364028	-0.00083119
556.80000000	0.14192767	144.75608776	1019.92857265	-0.05475291	-0.00083167
584.80000000	0.12656155	129.08472149	1019.93629452	-0.05569898	-0.00083090
614.80000000	0.11865127	121.01654236	1019.93468580	-0.05618601	-0.00083106
642.80000000	0.10936823	111.54788383	1019.92953788	-0.05675754	-0.00083157
674.80000000	0.10368723	105.75539959	1019.94626861	-0.05710715	-0.00082990
704.80000000	0.10064296	102.64934053	1019.93565103	-0.05729462	-0.00083096
734.80000000	0.16557950	168.88085681	1019.93822499	-0.05329629	-0.00083070
764.80000000	0.21369399	217.95295387	1019.93018137	-0.05033263	-0.00083151
796.80000000	0.25030553	255.29617409	1019.93822499	-0.04807666	-0.00083070
824.80000000	0.27331315	278.76393651	1019.94337291	-0.04665865	-0.00083019
854.80000000	0.29168191	297.49668013	1019.93532929	-0.04552659	-0.00083099
