Notes: 4B
11.6
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.89494285	912.79765472	1019.95077304	-0.00829060	-0.00082945
56.80000000	0.86860008	885.93323911	1019.95527747	-0.00991774	-0.00082900
59.80000000	0.85725206	874.36372582	1019.96106887	-0.01061847	-0.00082842
62.80000000	0.85275372	869.77888694	1019.96492981	-0.01089615	-0.00082803
74.80000000	0.85806841	875.19168095	1019.95559921	-0.01056832	-0.00082897
79.80000000	0.86665786	883.95392758	1019.95720794	-0.01003762	-0.00082881
84.80000000	0.87660949	894.10162968	1019.95431223	-0.00942299	-0.00082910
96.80000000	0.89526432	913.12956474	1019.95527747	-0.00827049	-0.00082900
99.80000000	0.90360885	921.63916604	1019.95366874	-0.00775507	-0.00082916
102.80000000	0.90912226	927.26404469	1019.95527747	-0.00741437	-0.00082900
114.80000000	0.91918232	937.52278667	1019.95302525	-0.00679299	-0.00082922
119.80000000	0.92373056	942.16356499	1019.95495572	-0.00651189	-0.00082903
124.80000000	0.92688974	945.38220162	1019.95109478	-0.00631693	-0.00082942
129.80000000	0.92950907	948.05439122	1019.95173827	-0.00615508	-0.00082935
134.80000000	0.93175332	950.34582123	1019.95431223	-0.00601628	-0.00082910
139.80000000	0.93359236	952.22516257	1019.95817317	-0.00590245	-0.00082871
144.80000000	0.93521350	953.87774877	1019.95720794	-0.00580235	-0.00082881
149.80000000	0.93655980	955.24941503	1019.95559921	-0.00571926	-0.00082897
154.80000000	0.93771990	956.43627964	1019.95946015	-0.00564737	-0.00082858
159.80000000	0.93871654	957.44949481	1019.95592096	-0.00558600	-0.00082893
164.80000000	0.93958341	958.33154369	1019.95366874	-0.00553257	-0.00082916
176.80000000	0.94078520	959.55610916	1019.95238176	-0.00545840	-0.00082929
179.80000000	0.94126857	960.04094334	1019.94369465	-0.00542903	-0.00083016
182.80000000	0.94160908	960.38823957	1019.94369465	-0.00540799	-0.00083016
194.80000000	0.94182636	960.62986000	1019.96492981	-0.00539336	-0.00082803
226.80000000	0.94019569	958.95604035	1019.95366874	-0.00549474	-0.00082916
254.80000000	0.92975433	948.30663462	1019.95399049	-0.00613980	-0.00082913
286.80000000	0.91108067	929.25919125	1019.95270351	-0.00729352	-0.00082926
314.80000000	0.87871029	896.24660856	1019.95688619	-0.00929308	-0.00082884
344.80000000	0.79889022	814.82304450	1019.94369465	-0.01422448	-0.00083016
376.80000000	0.63560691	648.28878659	1019.95238176	-0.02430795	-0.00082929
404.80000000	0.42687135	435.38501643	1019.94433814	-0.03719077	-0.00083009
434.80000000	0.31686456	323.18268973	1019.93951197	-0.04397494	-0.00083057
466.80000000	0.26297281	268.21813513	1019.94626861	-0.04729669	-0.00082990
494.80000000	0.23114711	235.75755434	1019.94594687	-0.04925789	-0.00082993
524.80000000	0.26620697	271.51646586	1019.94498163	-0.04709739	-0.00083003
556.80000000	0.40677363	414.88776758	1019.94755559	-0.03843042	-0.00082977
584.80000000	0.47477096	484.24377427	1019.95238176	-0.03423537	-0.00082929
614.80000000	0.51911688	529.47449915	1019.95238176	-0.03149882	-0.00082929
642.80000000	0.54878530	559.73276006	1019.94852083	-0.02966784	-0.00082967
674.80000000	0.56604729	577.34073781	1019.95141653	-0.02860225	-0.00082938
704.80000000	0.57261900	584.04227472	1019.94916432	-0.02819667	-0.00082961
734.80000000	0.57337873	584.81770520	1019.95012955	-0.02814974	-0.00082951
764.80000000	0.56793710	579.26952685	1019.95366874	-0.02848552	-0.00082916
796.80000000	0.55377392	564.82000098	1019.94691210	-0.02935998	-0.00082984
824.80000000	0.51360232	523.84693268	1019.94659036	-0.03183933	-0.00082987
854.80000000	0.41235213	420.57674959	1019.94562512	-0.03808637	-0.00082996
