Notes: 4A
10.1
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.82799859	844.45839267	1019.87902395	-0.01242889	-0.00083662
56.80000000	0.77472669	790.12102313	1019.87065859	-0.01571961	-0.00083746
59.80000000	0.74999837	764.89771390	1019.86583242	-0.01724704	-0.00083794
62.80000000	0.73934473	754.03742680	1019.87258906	-0.01790466	-0.00083726
74.80000000	0.75242236	767.36985839	1019.86583242	-0.01709734	-0.00083794
79.80000000	0.77125840	786.58455289	1019.87162382	-0.01593377	-0.00083736
84.80000000	0.79161271	807.34461736	1019.87323255	-0.01467657	-0.00083720
96.80000000	0.82588459	842.29891467	1019.87484127	-0.01255967	-0.00083704
99.80000000	0.84073746	857.44590595	1019.87355429	-0.01164230	-0.00083717
102.80000000	0.85050713	867.40863001	1019.87226731	-0.01103891	-0.00083730
114.80000000	0.86760114	884.84345415	1019.87355429	-0.00998294	-0.00083717
119.80000000	0.87493107	892.31934270	1019.87387604	-0.00953014	-0.00083714
124.80000000	0.88036761	897.86421152	1019.87419778	-0.00919429	-0.00083710
129.80000000	0.88476622	902.34426438	1019.86744114	-0.00892294	-0.00083778
134.80000000	0.88834182	905.99690284	1019.87419778	-0.00870171	-0.00083710
139.80000000	0.89154109	909.26663343	1019.88191966	-0.00850366	-0.00083633
144.80000000	0.89426854	912.03450400	1019.86647591	-0.00833601	-0.00083788
149.80000000	0.89647029	914.29096027	1019.87870221	-0.00819934	-0.00083665
154.80000000	0.89856426	916.41730292	1019.86840638	-0.00807055	-0.00083768
159.80000000	0.90021836	918.10658427	1019.87098034	-0.00796823	-0.00083742
164.80000000	0.90167609	919.60255967	1019.88127617	-0.00787762	-0.00083640
176.80000000	0.90396179	921.91741383	1019.86325846	-0.00773741	-0.00083820
179.80000000	0.90495651	922.96305278	1019.89768515	-0.00767407	-0.00083476
182.80000000	0.90540549	923.39532778	1019.86937161	-0.00764789	-0.00083759
194.80000000	0.90630682	924.32360321	1019.87934570	-0.00759167	-0.00083659
226.80000000	0.90452732	922.50581820	1019.87612825	-0.00770177	-0.00083691
254.80000000	0.89093418	908.63361200	1019.86615416	-0.00854200	-0.00083791
286.80000000	0.86886521	886.12705824	1019.86711940	-0.00990519	-0.00083781
314.80000000	0.83271409	849.25637908	1019.86551067	-0.01213830	-0.00083797
344.80000000	0.75408447	769.06061766	1019.86004101	-0.01699495	-0.00083852
376.80000000	0.62709198	639.54988730	1019.86615416	-0.02483614	-0.00083791
404.80000000	0.45491136	463.94548143	1019.85907578	-0.03546247	-0.00083861
434.80000000	0.36350439	370.72757839	1019.87098034	-0.04109990	-0.00083742
466.80000000	0.31522685	321.48777384	1019.86164974	-0.04407658	-0.00083836
494.80000000	0.28938959	295.13883951	1019.86679765	-0.04566909	-0.00083784
524.80000000	0.31264906	318.86099921	1019.86872812	-0.04423535	-0.00083765
556.80000000	0.46221500	471.39683858	1019.86486719	-0.03501172	-0.00083804
584.80000000	0.52062805	530.96774428	1019.86004101	-0.03140766	-0.00083852
614.80000000	0.55169243	562.65296825	1019.86711940	-0.02949032	-0.00083781
642.80000000	0.57114945	582.49617791	1019.86647591	-0.02828944	-0.00083788
674.80000000	0.58010877	591.63330451	1019.86615416	-0.02773644	-0.00083791
704.80000000	0.58086433	592.40499258	1019.86808463	-0.02768974	-0.00083771
734.80000000	0.57726965	588.73573430	1019.86261497	-0.02791181	-0.00083826
764.80000000	0.56835106	579.63890097	1019.86068450	-0.02846236	-0.00083845
796.80000000	0.55474959	565.77247386	1019.87001510	-0.02930154	-0.00083752
824.80000000	0.51842657	528.72387245	1019.86261497	-0.03154343	-0.00083826
854.80000000	0.44250401	451.29571388	1019.86808463	-0.03622763	-0.00083771
